Index,Address,FLAG,AvgMinBetweenSent,AvgMinBetweenReceived,TimeDiff,SentTnx,ReceivedTnx
0,1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e80,844.26,1093.71,704786,721,89
1,2,0x0002b44ddb1476db43c868bd494422ee4c136fed0,12709.1,2958.44,1218217,94,8
2,3,0x0002bda54cb772d040f779e88eb453cac0daa2440,246195,2434.02,516729,2,10
3,4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e0,10219.6,15785.1,397556,25,9
4,5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d890,36.61,10707.8,382472,4598,20
5,6,0x000895ad78f4403ecd9468900e68d6ee506136fd0,9900.12,375.48,20926.7,2,3
6,7,0x000d63fc5df52b0204374c2f5a3249779805d5d10,69.46,629.44,8660.35,25,11
7,8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d0,1497.39,176.84,319828,213,5
8,9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e40,0,0,496.62,1,1
9,10,0x0012f247c9f980eea0a9ad06893bfd95c31457940,2570.59,3336.01,30572.7,8,3
10,11,0x0013e58a315d2e728f11630aa40abfbdddcab3040,32.45,12921.6,129540,10,10
11,12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e420,3716.41,1448.09,385962,8,246
12,13,0x001b28141562bc2601694d27c3f5fda2c06c234c0,0,12431.3,198900,0,16
13,14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c0,9520.7,5776.32,78197.6,7,2
14,15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda0,14106.7,3742.82,540062,32,24
15,16,0x001d54f72af6eae0fdd17009c391426754bec5c20,757.91,11.08,25802.3,34,3
16,17,0x001e6fbcd020823d3161df44bb5da6c34419eecb0,3.13,4923.24,280803,57,57
17,18,0x001eb1e90d25e8c1372c38f2b2a36b49b66342350,27681.5,11171,842599,26,11
18,19,0x001f357ca93307571d8cd93d09ce25a3660429af0,770.29,3.82,2318.5,3,2
19,20,0x001f99982965a3792077893ecadc7be0c61d613c0,163.78,1.11,329.78,2,2
20,21,0x00235134f8335d48cf506b25cc376fc84520588b0,0,6324.45,113840,0,18
21,22,0x0023a6a2c8316ccfb083a194aa5668bd758914550,725.77,41108.7,292841,7,7
22,23,0x0029a9b2ea1e45e32fb6344b117388515858d0400,91.14,64.3,712.88,5,4
23,24,0x002a68f53b92cef5ee4e7ce015b78408f20942bb0,2477.34,6928.28,892782,8,126
24,25,0x002ab919205b134d05d0746e22c7f8000523c6600,0,13339.9,226778,0,17
25,26,0x002b043689ad84008fffab16afc1955f5a3aebde0,0,0,30.65,1,1
26,27,0x0031ebb20a0aaf8c67be012bb3a3483d752696350,1797.42,60933.1,330188,82,3
27,28,0x003300d3d2c46983b9a55b07b9b2ab47d62281110,0,0,68.87,1,1
28,29,0x0033fd555da940b923a7f6f465cc4d90887242630,155.22,112603,338430,4,3
29,30,0x0034f7473531239b1799bc7f14ff97d5303a5a930,14626.3,6594.93,955278,59,14
30,31,0x0036ed1e6299bb586ac70ebdfa336f06714a95560,0,5498.63,291428,0,53
