from_address,to_address,amount,timestamp,tx_hash
0x_norm_518,0x_norm_853,4.7647,1700033719,0x_tx_0
0x_norm_75,0x_norm_444,4.5598,1700073636,0x_tx_1
0x_norm_32,0x_norm_936,1.0802,1700061787,0x_tx_2
0x_norm_443,0x_norm_722,4.0064,1700032165,0x_tx_3
0x_norm_880,0x_norm_751,3.4575,1700047052,0x_tx_4
0x_norm_104,0x_norm_650,2.9782,1700040787,0x_tx_5
0x_norm_886,0x_norm_766,4.2645,1700034356,0x_tx_6
0x_norm_839,0x_norm_583,0.5493,1700064917,0x_tx_7
0x_norm_673,0x_norm_645,3.1473,1700082649,0x_tx_8
0x_norm_991,0x_norm_733,3.3567,1700029154,0x_tx_9
0x_norm_447,0x_norm_165,4.1653,1700088329,0x_tx_10
0x_norm_737,0x_norm_187,0.2116,1700096912,0x_tx_11
0x_norm_481,0x_norm_902,2.6058,1700008502,0x_tx_12
0x_norm_29,0x_norm_458,2.4858,1700030112,0x_tx_13
0x_norm_16,0x_norm_198,0.1466,1700097596,0x_tx_14
0x_norm_227,0x_norm_3,4.1732,1700037877,0x_tx_15
0x_norm_366,0x_norm_779,4.4587,1700044903,0x_tx_16
0x_norm_311,0x_norm_764,4.1163,1700014161,0x_tx_17
0x_norm_906,0x_norm_213,3.5073,1700068533,0x_tx_18
0x_norm_332,0x_norm_175,1.6333,1700098867,0x_tx_19
0x_norm_311,0x_norm_291,2.3874,1700023312,0x_tx_20
0x_norm_560,0x_norm_240,1.8241,1700013024,0x_tx_21
0x_norm_798,0x_norm_837,4.1922,1700027288,0x_tx_22
0x_norm_569,0x_norm_159,2.3346,1700009918,0x_tx_23
0x_norm_424,0x_norm_618,1.1726,1700088480,0x_tx_24
0x_norm_664,0x_norm_247,2.2151,1700028974,0x_tx_25
0x_norm_158,0x_norm_329,2.3858,1700022299,0x_tx_26
0x_norm_233,0x_norm_691,0.49,1700021684,0x_tx_27
0x_norm_471,0x_norm_803,4.0426,1700058961,0x_tx_28
0x_norm_370,0x_norm_865,1.6683,1700099185,0x_tx_29
0x_norm_807,0x_norm_683,2.7003,1700053293,0x_tx_30
0x_norm_498,0x_norm_389,1.6966,1700051696,0x_tx_31
0x_norm_611,0x_norm_278,1.9611,1700014049,0x_tx_32
0x_norm_292,0x_norm_462,0.3971,1700039795,0x_tx_33
0x_norm_998,0x_norm_788,4.4996,1700019497,0x_tx_34
0x_norm_557,0x_norm_507,0.5386,1700025174,0x_tx_35
0x_norm_649,0x_norm_299,2.1158,1700036256,0x_tx_36
0x_norm_983,0x_norm_613,3.8328,1700014853,0x_tx_37
0x_norm_559,0x_norm_329,3.2961,1700096270,0x_tx_38
0x_norm_707,0x_norm_627,4.9394,1700064588,0x_tx_39
0x_norm_142,0x_norm_761,0.8515,1700066108,0x_tx_40
0x_norm_80,0x_norm_568,4.6148,1700000311,0x_tx_41
0x_norm_237,0x_norm_470,1.0225,1700047008,0x_tx_42
0x_norm_562,0x_norm_781,3.9682,1700000950,0x_tx_43
0x_norm_816,0x_norm_157,4.588,1700043949,0x_tx_44
0x_norm_360,0x_norm_509,3.4725,1700033397,0x_tx_45
0x_norm_999,0x_norm_567,3.532,1700042962,0x_tx_46
0x_norm_511,0x_norm_212,4.9773,1700080750,0x_tx_47
0x_norm_149,0x_norm_88,3.9742,1700046966,0x_tx_48
0x_norm_705,0x_norm_957,3.5711,1700056680,0x_tx_49
0x_norm_584,0x_norm_508,0.7561,1700069214,0x_tx_50
0x_norm_926,0x_norm_134,2.4763,1700038295,0x_tx_51
0x_norm_983,0x_norm_735,4.729,1700075744,0x_tx_52
0x_norm_821,0x_norm_72,2.0119,1700067878,0x_tx_53
0x_norm_259,0x_norm_527,2.3533,1700029479,0x_tx_54
0x_norm_387,0x_norm_215,0.9157,1700044403,0x_tx_55
0x_norm_293,0x_norm_953,1.1996,1700040120,0x_tx_56
0x_norm_445,0x_norm_525,1.0813,1700067271,0x_tx_57
0x_norm_823,0x_norm_245,3.4017,1700045734,0x_tx_58
0x_norm_981,0x_norm_471,4.8366,1700091079,0x_tx_59
0x_norm_657,0x_norm_470,3.0165,1700067937,0x_tx_60
0x_norm_95,0x_norm_618,1.5056,1700093263,0x_tx_61
0x_norm_717,0x_norm_631,3.7669,1700000369,0x_tx_62
0x_norm_154,0x_norm_565,0.9224,1700053914,0x_tx_63
0x_norm_254,0x_norm_800,4.0847,1700095758,0x_tx_64
0x_norm_496,0x_norm_15,2.0343,1700042563,0x_tx_65
0x_norm_85,0x_norm_835,1.4708,1700048299,0x_tx_66
0x_norm_631,0x_norm_378,0.5164,1700043746,0x_tx_67
0x_norm_183,0x_norm_661,0.6337,1700025815,0x_tx_68
0x_norm_365,0x_norm_354,1.8795,1700008592,0x_tx_69
0x_norm_767,0x_norm_742,0.5243,1700075505,0x_tx_70
0x_norm_283,0x_norm_663,3.2056,1700062025,0x_tx_71
0x_norm_403,0x_norm_613,4.2813,1700085052,0x_tx_72
0x_norm_475,0x_norm_730,3.3636,1700059813,0x_tx_73
0x_norm_257,0x_norm_173,3.0531,1700021559,0x_tx_74
0x_norm_922,0x_norm_692,4.5013,1700035019,0x_tx_75
0x_norm_902,0x_norm_173,0.1634,1700083320,0x_tx_76
0x_norm_715,0x_norm_930,4.2915,1700064576,0x_tx_77
0x_norm_557,0x_norm_476,2.2038,1700094958,0x_tx_78
0x_norm_632,0x_norm_466,2.6853,1700044420,0x_tx_79
0x_norm_450,0x_norm_602,1.2456,1700022456,0x_tx_80
0x_norm_611,0x_norm_12,3.6257,1700050031,0x_tx_81
0x_norm_616,0x_norm_834,1.0116,1700072803,0x_tx_82
0x_norm_588,0x_norm_229,4.487,1700071557,0x_tx_83
0x_norm_799,0x_norm_787,3.2569,1700088775,0x_tx_84
0x_norm_646,0x_norm_267,2.0536,1700075813,0x_tx_85
0x_norm_548,0x_norm_576,3.7442,1700008092,0x_tx_86
0x_norm_396,0x_norm_565,3.9388,1700070597,0x_tx_87
0x_norm_726,0x_norm_778,4.0976,1700004950,0x_tx_88
0x_norm_750,0x_norm_35,4.4622,1700063550,0x_tx_89
0x_norm_30,0x_norm_781,1.7366,1700061923,0x_tx_90
0x_norm_26,0x_norm_800,4.494,1700093155,0x_tx_91
0x_norm_487,0x_norm_375,3.4366,1700089571,0x_tx_92
0x_norm_574,0x_norm_639,2.053,1700059150,0x_tx_93
0x_norm_492,0x_norm_584,0.3574,1700059965,0x_tx_94
0x_norm_327,0x_norm_198,0.6779,1700057333,0x_tx_95
0x_norm_703,0x_norm_478,1.8409,1700072943,0x_tx_96
0x_norm_953,0x_norm_798,2.5011,1700017967,0x_tx_97
0x_norm_207,0x_norm_211,0.5277,1700036292,0x_tx_98
0x_norm_911,0x_norm_768,4.1742,1700065971,0x_tx_99
0x_norm_582,0x_norm_811,0.3726,1700002187,0x_tx_100
0x_norm_650,0x_norm_343,4.5543,1700027321,0x_tx_101
0x_norm_737,0x_norm_116,2.6255,1700082854,0x_tx_102
0x_norm_924,0x_norm_468,2.0909,1700060431,0x_tx_103
0x_norm_526,0x_norm_25,1.5055,1700030476,0x_tx_104
0x_norm_610,0x_norm_107,0.7824,1700084717,0x_tx_105
0x_norm_285,0x_norm_257,2.4386,1700025592,0x_tx_106
0x_norm_477,0x_norm_107,3.4047,1700092614,0x_tx_107
0x_norm_402,0x_norm_333,2.6342,1700054592,0x_tx_108
0x_norm_804,0x_norm_270,0.9623,1700054467,0x_tx_109
0x_norm_327,0x_norm_503,1.7796,1700052164,0x_tx_110
0x_norm_393,0x_norm_718,3.839,1700013161,0x_tx_111
0x_norm_638,0x_norm_42,2.0886,1700027097,0x_tx_112
0x_norm_374,0x_norm_101,2.5536,1700085975,0x_tx_113
0x_norm_989,0x_norm_447,1.8683,1700038879,0x_tx_114
0x_norm_96,0x_norm_31,2.2904,1700017434,0x_tx_115
0x_norm_852,0x_norm_512,3.1172,1700086399,0x_tx_116
0x_norm_259,0x_norm_18,3.77,1700036818,0x_tx_117
0x_norm_181,0x_norm_405,2.543,1700035577,0x_tx_118
0x_norm_903,0x_norm_13,1.2457,1700060818,0x_tx_119
0x_norm_802,0x_norm_691,4.8547,1700072690,0x_tx_120
0x_norm_717,0x_norm_955,4.1527,1700091346,0x_tx_121
0x_norm_374,0x_norm_587,2.7359,1700093278,0x_tx_122
0x_norm_502,0x_norm_536,0.3571,1700028149,0x_tx_123
0x_norm_244,0x_norm_104,2.1013,1700008725,0x_tx_124
0x_norm_880,0x_norm_792,2.551,1700080630,0x_tx_125
0x_norm_895,0x_norm_140,3.7589,1700017800,0x_tx_126
0x_norm_115,0x_norm_816,2.7102,1700049699,0x_tx_127
0x_norm_884,0x_norm_523,0.9047,1700023537,0x_tx_128
0x_norm_271,0x_norm_544,1.2008,1700053017,0x_tx_129
0x_norm_842,0x_norm_228,2.326,1700073669,0x_tx_130
0x_norm_30,0x_norm_782,4.3486,1700078064,0x_tx_131
0x_norm_421,0x_norm_472,1.2747,1700024788,0x_tx_132
0x_norm_943,0x_norm_617,4.5629,1700003087,0x_tx_133
0x_norm_263,0x_norm_592,4.7397,1700058579,0x_tx_134
0x_norm_511,0x_norm_673,3.6986,1700047035,0x_tx_135
0x_norm_209,0x_norm_405,4.3208,1700029678,0x_tx_136
0x_norm_408,0x_norm_395,3.6014,1700014953,0x_tx_137
0x_norm_818,0x_norm_277,0.7533,1700044093,0x_tx_138
0x_norm_808,0x_norm_563,2.0064,1700098455,0x_tx_139
0x_norm_465,0x_norm_975,1.5096,1700030123,0x_tx_140
0x_norm_841,0x_norm_81,1.9264,1700028627,0x_tx_141
0x_norm_17,0x_norm_968,3.4204,1700064059,0x_tx_142
0x_norm_875,0x_norm_519,0.6756,1700072248,0x_tx_143
0x_norm_459,0x_norm_377,4.1945,1700054337,0x_tx_144
0x_norm_256,0x_norm_519,2.5027,1700016334,0x_tx_145
0x_norm_673,0x_norm_521,3.9921,1700012393,0x_tx_146
0x_norm_399,0x_norm_140,2.5719,1700080903,0x_tx_147
0x_norm_780,0x_norm_421,2.4241,1700062783,0x_tx_148
